iter	MultiClass
0	1.328960996
1	1.264853489
2	1.216110945
3	1.178082191
4	1.14542384
5	1.107346882
6	1.071345063
7	1.039205345
8	1.011455409
9	0.9916138111
10	0.9708375364
11	0.9527209588
12	0.9378079927
13	0.92250471
14	0.9065351034
15	0.893654387
16	0.8818274292
17	0.8702568652
18	0.8619775904
19	0.851202058
20	0.8429677869
21	0.8356419827
22	0.8238372934
23	0.8171750305
24	0.8084110382
25	0.8003364505
26	0.7929691771
27	0.7867847965
28	0.780249142
29	0.7728631149
30	0.7654520414
31	0.7594308352
32	0.7554745695
33	0.7488659172
34	0.7444271125
35	0.7375281411
36	0.7334656579
37	0.7269744714
38	0.7238941448
39	0.7191364188
40	0.713414539
41	0.7090229685
42	0.7046237948
43	0.6999582198
44	0.6967686727
45	0.6936780301
46	0.6880269957
47	0.6840405722
48	0.6805647791
49	0.6773736587
50	0.6731842432
51	0.6697344602
52	0.6661653212
53	0.6619587104
54	0.658381422
55	0.6566940534
56	0.6532309825
57	0.6489860969
58	0.6456674267
59	0.642152591
60	0.6389938995
61	0.6357145352
62	0.6322328039
63	0.629102194
64	0.6257627473
65	0.6223856068
66	0.6187613275
67	0.6155594103
68	0.6132306086
69	0.6098521429
70	0.6056449699
71	0.6023486413
72	0.5992414001
73	0.5956120117
74	0.5925512906
75	0.5886060329
76	0.5847899793
77	0.5827425615
78	0.580099463
79	0.5767571859
80	0.5737716831
81	0.5709273609
82	0.5676965703
83	0.5654412067
84	0.5625071223
85	0.5595382272
86	0.5573661661
87	0.5544422978
88	0.5517968916
89	0.5490679852
90	0.5468452473
91	0.544528676
92	0.5425365402
93	0.5394226725
94	0.5368294597
95	0.5330897303
96	0.5309132365
97	0.5274461209
98	0.525721248
99	0.5236840843
100	0.5208735493
101	0.5191242819
102	0.5165322924
103	0.5146532475
104	0.5127274653
105	0.5111093604
106	0.5095659788
107	0.5080229041
108	0.5057488665
109	0.5040258985
110	0.501680742
111	0.4997738776
112	0.4966090237
113	0.4949894841
114	0.4927365277
115	0.4912006816
116	0.488883938
117	0.4874721333
118	0.4854211379
119	0.4840598998
120	0.4825300023
121	0.4804754113
122	0.4787831638
123	0.4769373253
124	0.4746800095
125	0.4728065262
126	0.4716276406
127	0.4694976423
128	0.4671537125
129	0.4656474575
130	0.4639794104
131	0.4623682795
132	0.4610183641
133	0.4590139303
134	0.4575468381
135	0.4559741044
136	0.4533316034
137	0.4517007481
138	0.4492181804
139	0.4483715565
140	0.446506488
141	0.4447107173
142	0.442867572
143	0.4412971304
144	0.4398628598
145	0.4373636375
146	0.4356368103
147	0.4341623786
148	0.4324468224
149	0.4313513018
150	0.4290579299
151	0.4270353175
152	0.4247323483
153	0.4238101361
154	0.4218546871
155	0.4203270089
156	0.4186049365
157	0.4162904914
158	0.41530191
159	0.4133937903
160	0.4121475822
161	0.4106718012
162	0.4092073541
163	0.4075203331
164	0.4061646291
165	0.4051814188
166	0.4030324152
167	0.4013426159
168	0.4003665536
169	0.3986650894
170	0.3971759638
171	0.3951056086
172	0.3940402717
173	0.3932985525
174	0.3924968384
175	0.3911538215
176	0.3901717367
177	0.388409941
178	0.3875250408
179	0.3863591535
180	0.3850181623
181	0.3839562106
182	0.3826330209
183	0.3814793463
184	0.3799500002
185	0.3781995308
186	0.3769171119
187	0.3750945856
188	0.3740479417
189	0.3726410958
190	0.3701834734
191	0.3686273338
192	0.3676224762
193	0.366098691
194	0.3647485408
195	0.3634747623
196	0.3619082243
197	0.3605676654
198	0.3590468379
199	0.3579060887
200	0.3561283492
201	0.355099284
202	0.3536581523
203	0.3526487328
204	0.3517526864
205	0.3505686373
206	0.3497875299
207	0.3493430723
208	0.3482849685
209	0.3475950509
210	0.3463883721
211	0.3457135174
212	0.3443595784
213	0.3430132021
214	0.3419777792
215	0.3409402996
216	0.3401310976
217	0.3393389393
218	0.3386771807
219	0.337431574
220	0.3365418895
221	0.3355216535
222	0.3348572401
223	0.3340697542
224	0.3334945745
225	0.3323679487
226	0.3317181193
227	0.3305038827
228	0.3297613477
229	0.328744007
230	0.3273300604
231	0.3259737101
232	0.3248263198
233	0.3235078754
234	0.3225770737
235	0.3208306289
236	0.3196681088
237	0.3180030462
238	0.3173204923
239	0.3167838765
240	0.3162254194
241	0.3152487607
242	0.3145415175
243	0.312976943
244	0.3124140752
245	0.311621751
246	0.3101815995
247	0.3093326756
248	0.3085236495
249	0.3072526207
250	0.3063082776
251	0.3054690479
252	0.3041298515
253	0.3037267976
254	0.3027653206
255	0.3022378427
256	0.3012542916
257	0.3007229648
258	0.2996273297
259	0.2986063574
260	0.2973870771
261	0.2963242593
262	0.295797949
263	0.2945315305
264	0.2936331923
265	0.2930905502
266	0.2919219779
267	0.2909569556
268	0.2900427477
269	0.2894031977
270	0.2886894615
271	0.2881407682
272	0.2871348383
273	0.2863169679
274	0.2851676511
275	0.28390286
276	0.2827354949
277	0.2821240945
278	0.281383414
279	0.2805425919
280	0.2801395674
281	0.2794335503
282	0.2788594472
283	0.2779793171
284	0.2769632376
285	0.2763017852
286	0.2755767427
287	0.2745940023
288	0.2741742332
289	0.2734986305
290	0.2728405828
291	0.2723105511
292	0.2714684591
293	0.2706095687
294	0.269311709
295	0.2683461468
296	0.2672783048
297	0.2668620482
298	0.2660227512
299	0.2652811427
300	0.2646602422
301	0.2638428795
302	0.263187025
303	0.2621467814
304	0.2615019056
305	0.2606741938
306	0.2593838932
307	0.2583209933
308	0.2576920907
309	0.2572192382
310	0.2567734231
311	0.2559060963
312	0.2550233268
313	0.2538992702
314	0.2532454977
315	0.2521706206
316	0.2518421682
317	0.2512679928
318	0.2509204845
319	0.2503304598
320	0.2497103275
321	0.2487915105
322	0.2482028298
323	0.247621693
324	0.2467935505
325	0.2460727476
326	0.2454587178
327	0.2451646701
328	0.2446545468
329	0.2439004924
330	0.2427961661
331	0.2424404685
332	0.2415624105
333	0.2407831905
334	0.2400226089
335	0.2394170569
336	0.2386627817
337	0.2381709887
338	0.2376540899
339	0.2369742342
340	0.2364532866
341	0.2360614703
342	0.2357681689
343	0.2353083451
344	0.2349354573
345	0.2346566102
346	0.2339784846
347	0.2333030037
348	0.232511582
349	0.2322331926
350	0.2313816911
351	0.2309137363
352	0.2305291671
353	0.2300627909
354	0.2294723605
355	0.2290593349
356	0.2284443607
357	0.227857198
358	0.22729444
359	0.2265060918
360	0.2256735202
361	0.225115987
362	0.2245594713
363	0.2240945132
364	0.2235182881
365	0.2232446161
366	0.2226284204
367	0.2222228805
368	0.2218357683
369	0.2211480408
370	0.2207851381
371	0.2202800866
372	0.2198444464
373	0.2194896644
374	0.2192511313
375	0.2185725218
376	0.217845817
377	0.2174070032
378	0.2168052608
379	0.2161242056
380	0.2155675593
381	0.2151762289
382	0.2147494771
383	0.2138709918
384	0.2134185729
385	0.2129866739
386	0.2125554825
387	0.2120924684
388	0.2117280655
389	0.2113194099
390	0.2105487115
391	0.210183437
392	0.2097266309
393	0.2090168224
394	0.2085273075
395	0.2080103822
396	0.2077427399
397	0.207288073
398	0.2069760042
399	0.2065612125
400	0.2060680537
401	0.205631233
402	0.2051947831
403	0.2045604514
404	0.2040090977
405	0.2034779201
406	0.2030505707
407	0.2025477512
408	0.2018151989
409	0.2012962472
410	0.2009064288
411	0.2004802442
412	0.1999440705
413	0.1993850521
414	0.1990652761
415	0.1983477184
416	0.1978012238
417	0.1973720565
418	0.1970504984
419	0.1968074353
420	0.1962947232
421	0.1955111685
422	0.1952180231
423	0.1949122194
424	0.1945411803
425	0.1941330997
426	0.1937205994
427	0.1934169699
428	0.1929943181
429	0.1925152628
430	0.1922382997
431	0.1917543165
432	0.1915275663
433	0.1913118681
434	0.19112873
435	0.1907618822
436	0.1903031624
437	0.1899087485
438	0.189629578
439	0.1892333414
440	0.1888885308
441	0.1885908081
442	0.1881479396
443	0.1877912165
444	0.1875310656
445	0.1868128199
446	0.186520917
447	0.1861966642
448	0.1857569906
449	0.1852792197
450	0.1848634054
451	0.184454532
452	0.1840930353
453	0.1836227894
454	0.1832411129
455	0.1828561246
456	0.1823970788
457	0.1818346032
458	0.1813513227
459	0.1810249813
460	0.1807316511
461	0.1802352848
462	0.1798203048
463	0.1794540858
464	0.1789429858
465	0.178478251
466	0.178203219
467	0.177697567
468	0.177303684
469	0.1769243509
470	0.1767984456
471	0.1764973946
472	0.1759113713
473	0.1754271133
