iter	Passed	Remaining
0	51	256735
1	54	136536
2	57	96027
3	60	75684
4	63	63500
5	66	55302
6	69	49443
7	72	45078
8	75	41717
9	78	38985
10	80	36722
11	83	34862
12	86	33319
13	89	31950
14	92	30791
15	95	29771
16	98	28895
17	101	28077
18	104	27368
19	107	26717
20	110	26152
21	113	25610
22	116	25108
23	119	24687
24	123	24517
25	128	24553
26	132	24428
27	136	24267
28	140	24013
29	144	24001
30	147	23699
31	150	23401
32	153	23138
33	156	22895
34	159	22664
35	162	22426
36	165	22201
37	168	21992
38	171	21796
39	174	21611
40	177	21428
41	180	21257
42	183	21109
43	186	20953
44	189	20813
45	191	20670
46	194	20543
47	198	20429
48	200	20304
49	204	20200
50	207	20087
51	209	19979
52	212	19871
53	215	19765
54	218	19666
55	221	19576
56	224	19489
57	227	19397
58	230	19306
59	233	19222
60	236	19141
61	239	19056
62	242	18983
63	245	18918
64	249	18980
65	253	18939
66	256	18872
67	259	18802
68	262	18743
69	265	18687
70	268	18625
71	271	18566
72	274	18504
73	277	18447
74	280	18387
75	283	18337
76	286	18286
77	288	18235
78	291	18184
79	296	18229
80	300	18223
81	303	18173
82	306	18129
83	308	18079
84	311	18030
85	314	17985
86	317	17941
87	320	17897
88	323	17858
89	326	17831
90	329	17790
91	332	17745
92	335	17706
93	338	17663
94	341	17623
95	344	17583
96	347	17543
97	350	17515
98	352	17474
99	355	17439
100	358	17404
101	361	17368
102	364	17335
103	367	17303
104	370	17277
105	373	17251
106	376	17224
107	379	17193
108	382	17162
109	385	17133
110	388	17103
111	391	17077
112	394	17051
113	397	17024
114	400	17002
115	403	16973
116	406	16951
117	409	16929
118	412	16908
119	415	16883
120	418	16857
121	421	16833
122	423	16808
123	426	16785
124	429	16763
125	432	16738
126	435	16721
127	438	16697
128	441	16677
129	444	16654
130	448	16682
131	452	16669
132	454	16649
133	457	16628
134	460	16608
135	463	16588
136	466	16571
137	469	16554
138	472	16535
139	475	16515
140	478	16496
141	481	16478
142	484	16458
143	487	16441
144	490	16424
145	493	16408
146	496	16390
147	499	16372
148	502	16353
149	505	16336
150	508	16320
151	511	16303
152	514	16285
153	516	16265
154	519	16248
155	523	16242
156	526	16230
157	529	16216
158	532	16199
159	535	16187
160	538	16170
161	541	16159
162	544	16147
163	547	16134
164	550	16119
165	553	16104
166	556	16091
167	558	16075
168	561	16063
169	564	16049
170	567	16036
171	570	16023
172	573	16010
173	576	15998
174	579	15987
175	582	15971
176	585	15957
177	588	15944
178	591	15929
179	594	15919
180	597	15906
181	600	15895
182	603	15880
183	606	15866
184	609	15852
185	611	15839
186	614	15828
187	617	15815
188	620	15806
189	624	15798
190	626	15785
191	629	15774
192	632	15762
193	635	15751
194	638	15740
195	641	15730
196	644	15720
197	650	15782
198	654	15778
199	656	15767
200	659	15756
201	662	15744
202	665	15733
203	669	15749
204	672	15739
205	675	15727
206	678	15716
207	681	15704
208	684	15693
209	687	15682
210	690	15671
211	693	15663
212	696	15653
213	699	15653
214	703	15647
215	706	15638
216	709	15628
217	712	15618
218	714	15608
219	717	15599
220	720	15589
221	723	15580
222	726	15570
223	729	15561
224	732	15549
225	735	15537
226	738	15529
227	741	15521
228	744	15512
229	747	15504
230	750	15497
231	753	15489
232	756	15480
233	759	15472
234	762	15463
235	765	15453
236	768	15444
237	771	15436
238	774	15428
239	777	15419
240	780	15410
241	783	15402
242	786	15391
243	789	15382
244	792	15374
245	795	15366
246	798	15356
247	800	15347
248	803	15338
249	806	15330
250	809	15319
251	812	15311
252	815	15306
253	818	15299
254	821	15290
255	824	15281
256	827	15273
257	830	15265
258	833	15258
259	836	15251
260	839	15248
261	842	15243
262	845	15235
263	850	15265
264	854	15264
265	857	15256
266	860	15249
267	863	15240
268	866	15231
269	869	15225
270	872	15221
271	875	15215
272	878	15206
273	881	15202
274	884	15195
275	887	15189
276	890	15184
277	893	15178
278	896	15171
279	899	15164
280	902	15157
281	905	15151
282	908	15144
283	911	15136
284	914	15128
285	917	15122
286	920	15115
287	923	15106
288	926	15097
289	929	15091
290	932	15085
291	935	15078
292	938	15072
293	941	15067
294	944	15062
295	947	15055
296	950	15048
297	953	15043
298	956	15034
299	959	15029
300	962	15022
301	965	15014
302	968	15006
303	971	14999
304	974	14993
305	976	14986
306	980	14981
307	983	14975
308	985	14967
309	988	14961
310	991	14955
311	994	14949
312	997	14941
313	1000	14933
314	1003	14927
315	1006	14920
316	1009	14911
317	1012	14904
318	1015	14897
319	1018	14890
320	1021	14884
321	1024	14878
322	1027	14871
323	1030	14865
324	1033	14859
325	1036	14854
326	1038	14847
327	1041	14840
328	1044	14834
329	1049	14851
330	1052	14848
331	1055	14841
332	1058	14835
333	1061	14828
334	1064	14822
335	1067	14815
336	1070	14810
337	1073	14803
338	1076	14796
339	1079	14791
340	1082	14786
341	1085	14782
342	1088	14776
343	1091	14771
344	1094	14765
345	1097	14758
346	1100	14753
347	1103	14746
348	1106	14742
349	1109	14737
350	1112	14730
351	1115	14723
352	1117	14717
353	1121	14713
354	1123	14706
355	1126	14700
356	1129	14695
357	1132	14688
358	1135	14683
359	1138	14676
360	1141	14670
361	1144	14663
362	1147	14656
363	1150	14649
364	1153	14643
