iter	Passed	Remaining
0	63	318882
1	67	167835
2	70	117046
3	73	91674
4	76	76485
5	79	66335
6	82	58939
7	85	53498
8	88	49213
9	91	45790
10	94	42933
11	97	40559
12	100	38608
13	103	36892
14	106	35437
15	109	34153
16	112	33048
17	115	32021
18	118	31099
19	121	30276
20	124	29552
21	127	28878
22	130	28241
23	133	27667
24	136	27143
25	139	26644
26	142	26194
27	145	25775
28	148	25383
29	151	25029
30	153	24683
31	156	24351
32	159	24078
33	163	23814
34	165	23539
35	168	23273
36	171	23025
37	174	22792
38	177	22571
39	180	22360
40	183	22158
41	186	21962
42	188	21785
43	191	21608
44	194	21447
45	197	21288
46	200	21145
47	203	21023
48	206	20898
49	209	20783
50	213	20676
51	216	20558
52	219	20444
53	222	20338
54	225	20253
55	228	20171
56	231	20094
57	234	20018
58	238	19942
59	241	19910
60	245	19862
61	248	19811
62	252	19760
63	255	19701
64	258	19641
65	262	19589
66	265	19541
67	268	19488
68	272	19438
69	275	19406
70	278	19357
71	282	19324
72	285	19269
73	288	19208
74	291	19147
75	294	19095
76	297	19052
77	301	19001
78	304	18945
79	307	18892
80	310	18841
81	313	18784
82	316	18737
83	319	18684
84	322	18627
85	325	18581
86	328	18533
87	331	18502
88	334	18464
89	338	18443
90	341	18400
91	344	18362
92	347	18322
93	350	18279
94	353	18240
95	356	18198
96	359	18157
97	362	18125
98	365	18090
99	368	18057
100	371	18018
101	374	17977
102	377	17941
103	380	17900
104	383	17867
105	386	17836
106	389	17803
107	392	17767
108	395	17739
109	398	17711
110	401	17683
111	404	17655
112	407	17623
113	410	17592
114	413	17567
115	416	17539
116	419	17512
117	422	17487
118	425	17458
119	428	17431
120	431	17405
121	434	17382
122	437	17357
123	440	17334
124	443	17307
125	446	17278
126	449	17256
127	452	17231
128	455	17209
129	458	17182
130	461	17159
131	464	17134
132	467	17116
133	470	17093
134	473	17070
135	476	17048
136	479	17027
137	482	17004
138	485	16978
139	488	16952
140	491	16929
141	494	16907
142	497	16885
143	500	16863
144	502	16840
145	505	16819
146	508	16797
147	511	16776
148	514	16755
149	517	16736
150	520	16718
151	523	16700
152	526	16679
153	529	16656
154	532	16637
155	535	16615
156	538	16595
157	540	16578
158	543	16557
159	546	16539
160	549	16519
161	552	16503
162	555	16484
163	558	16465
164	561	16449
165	564	16429
166	567	16413
167	570	16394
168	572	16377
169	575	16360
170	578	16344
171	581	16329
172	584	16317
173	587	16303
174	590	16290
175	593	16273
176	596	16257
177	599	16243
178	602	16238
179	606	16233
180	609	16224
181	612	16213
182	615	16198
183	618	16185
184	621	16172
185	624	16159
186	627	16145
187	630	16132
188	633	16121
189	636	16110
190	639	16098
191	642	16087
192	645	16077
193	648	16065
194	651	16053
195	654	16041
196	657	16030
197	660	16019
198	663	16009
199	666	15997
200	669	15983
201	672	15970
202	675	15958
203	678	15946
204	681	15935
205	684	15922
206	687	15910
207	690	15897
208	693	15889
209	696	15877
210	699	15868
211	702	15858
212	705	15846
213	708	15837
214	711	15827
215	714	15817
216	717	15805
217	720	15795
218	723	15784
219	725	15772
220	728	15762
221	731	15753
222	734	15742
223	737	15733
224	740	15723
225	743	15711
226	746	15703
227	749	15693
228	752	15682
229	755	15672
230	758	15664
231	761	15655
232	764	15644
233	767	15635
234	770	15626
235	773	15616
236	776	15610
237	779	15605
238	782	15597
239	785	15588
240	788	15577
241	791	15569
242	794	15556
243	797	15546
244	800	15535
245	803	15525
246	806	15514
247	809	15505
248	812	15495
249	815	15485
250	817	15474
251	820	15464
252	823	15455
253	826	15446
254	829	15437
255	832	15426
256	835	15419
257	838	15410
258	841	15400
259	844	15391
260	847	15384
261	850	15377
262	853	15367
263	856	15360
264	859	15351
265	862	15343
266	865	15336
267	868	15326
268	870	15317
269	873	15310
270	876	15301
271	879	15293
272	882	15284
273	885	15275
274	888	15267
275	891	15259
276	894	15251
277	897	15244
278	900	15235
279	903	15229
280	906	15221
281	909	15215
282	912	15211
283	915	15205
284	918	15199
285	921	15196
286	925	15190
287	928	15185
288	931	15179
289	934	15175
290	937	15170
291	940	15170
292	944	15169
293	947	15168
294	950	15164
295	953	15160
296	957	15156
297	960	15151
298	963	15145
299	966	15144
300	969	15140
301	972	15133
302	975	15128
303	979	15123
304	982	15120
305	985	15115
306	988	15111
307	991	15106
308	994	15100
309	997	15093
310	1000	15090
311	1003	15084
312	1006	15078
313	1009	15070
314	1012	15062
315	1015	15055
316	1018	15046
317	1021	15039
318	1024	15030
319	1027	15024
320	1030	15018
321	1033	15014
322	1036	15006
323	1039	15001
324	1042	14995
325	1045	14988
326	1048	14981
327	1051	14972
328	1054	14965
329	1057	14958
330	1060	14952
331	1063	14946
332	1065	14939
333	1068	14933
334	1071	14926
335	1074	14920
336	1077	14914
337	1080	14907
338	1083	14901
339	1086	14895
340	1090	14893
341	1093	14888
342	1096	14882
343	1099	14876
344	1102	14869
345	1104	14862
346	1107	14856
347	1110	14849
348	1113	14843
349	1116	14836
350	1119	14831
351	1122	14824
352	1125	14819
353	1128	14813
354	1131	14806
355	1134	14800
356	1137	14795
357	1140	14788
358	1143	14782
359	1146	14775
360	1149	14770
361	1152	14763
362	1155	14756
363	1158	14750
364	1161	14744
365	1164	14739
366	1167	14733
367	1170	14728
368	1173	14725
369	1176	14720
370	1179	14715
371	1182	14709
372	1185	14704
373	1188	14698
374	1191	14693
375	1194	14693
376	1197	14689
377	1200	14683
378	1203	14676
379	1206	14671
380	1209	14665
381	1212	14659
382	1215	14654
383	1218	14648
384	1221	14644
385	1224	14638
386	1227	14632
387	1230	14626
388	1233	14620
389	1236	14614
390	1239	14609
391	1242	14605
392	1245	14600
393	1248	14596
394	1251	14592
395	1254	14586
396	1257	14581
397	1260	14574
398	1263	14568
399	1266	14563
400	1269	14559
401	1272	14553
402	1275	14548
403	1278	14545
404	1281	14538
405	1284	14532
406	1287	14527
407	1290	14522
408	1293	14518
409	1296	14514
410	1299	14509
411	1302	14504
412	1305	14498
413	1308	14494
414	1311	14489
415	1314	14484
416	1317	14478
417	1320	14474
418	1323	14470
419	1326	14463
420	1329	14458
421	1332	14454
422	1335	14450
423	1338	14445
424	1341	14439
425	1344	14433
426	1347	14429
427	1350	14424
428	1353	14418
429	1356	14415
430	1359	14411
431	1362	14409
432	1365	14405
433	1368	14401
434	1371	14397
435	1374	14393
436	1377	14388
437	1381	14383
438	1384	14379
439	1386	14374
440	1390	14370
441	1393	14365
442	1396	14362
443	1399	14358
444	1402	14354
445	1405	14349
446	1408	14345
447	1411	14341
448	1414	14337
449	1417	14334
450	1420	14329
451	1423	14324
452	1426	14320
453	1429	14316
454	1432	14311
455	1435	14307
456	1438	14302
457	1441	14296
458	1444	14292
459	1447	14287
460	1450	14282
461	1453	14278
462	1456	14275
463	1459	14270
464	1462	14265
465	1465	14259
466	1468	14255
467	1471	14250
468	1474	14246
469	1477	14240
470	1480	14235
471	1483	14230
472	1486	14224
473	1489	14219
474	1492	14214
475	1495	14210
476	1498	14206
477	1501	14203
478	1504	14199
479	1507	14197
480	1511	14196
481	1513	14191
482	1517	14187
483	1520	14182
484	1522	14177
485	1525	14172
486	1528	14168
487	1532	14164
488	1534	14160
489	1537	14155
490	1540	14149
491	1543	14145
492	1546	14139
493	1549	14134
494	1552	14129
495	1555	14125
496	1558	14120
497	1561	14115
498	1564	14110
499	1567	14105
500	1570	14102
501	1573	14098
502	1576	14096
503	1579	14094
504	1582	14090
505	1586	14086
506	1589	14082
507	1592	14079
508	1595	14074
509	1598	14070
510	1601	14066
511	1604	14062
512	1607	14058
513	1610	14053
514	1613	14049
515	1616	14045
516	1619	14040
517	1622	14036
518	1625	14032
519	1628	14027
520	1631	14023
521	1634	14019
522	1637	14014
523	1640	14011
524	1643	14006
525	1646	14002
526	1649	13997
527	1652	13993
528	1655	13988
529	1658	13984
530	1661	13979
531	1664	13975
532	1667	13971
533	1670	13968
534	1673	13963
535	1676	13959
536	1679	13955
537	1682	13950
538	1685	13946
539	1687	13941
540	1690	13936
541	1693	13931
542	1696	13927
543	1699	13922
544	1702	13918
545	1705	13914
546	1708	13909
547	1711	13905
548	1714	13900
549	1717	13895
550	1720	13890
551	1723	13888
552	1726	13883
553	1729	13879
554	1732	13874
555	1735	13870
556	1738	13865
557	1741	13861
558	1744	13857
559	1747	13854
560	1750	13849
561	1753	13848
562	1756	13846
563	1759	13842
564	1763	13838
565	1765	13834
566	1768	13829
567	1771	13825
568	1774	13821
569	1777	13817
570	1780	13813
571	1783	13809
572	1786	13805
573	1789	13802
574	1792	13798
575	1796	13794
576	1799	13790
577	1802	13787
578	1805	13783
579	1808	13778
580	1811	13774
581	1814	13771
582	1817	13767
583	1820	13763
584	1823	13758
585	1826	13755
586	1828	13750
587	1831	13746
588	1834	13741
589	1837	13737
590	1840	13733
591	1843	13728
592	1846	13724
593	1849	13719
594	1852	13714
595	1855	13710
596	1858	13705
597	1861	13700
598	1864	13696
599	1867	13692
600	1869	13687
601	1872	13682
602	1875	13677
603	1878	13673
604	1881	13668
605	1884	13664
606	1887	13659
607	1890	13655
608	1893	13650
609	1896	13646
610	1899	13642
611	1902	13638
612	1905	13636
613	1908	13632
614	1911	13627
615	1914	13623
616	1917	13618
617	1920	13614
618	1923	13610
619	1926	13607
620	1929	13603
621	1932	13599
622	1935	13595
623	1937	13590
624	1940	13586
625	1943	13581
626	1946	13577
627	1949	13573
628	1952	13570
629	1955	13566
630	1958	13561
631	1961	13556
632	1964	13552
633	1967	13549
634	1970	13544
635	1973	13540
636	1976	13535
637	1979	13531
638	1982	13527
639	1985	13523
640	1988	13519
641	1990	13515
642	1993	13510
643	1996	13506
644	1999	13502
645	2002	13498
646	2005	13493
647	2008	13489
648	2011	13485
649	2014	13482
650	2017	13478
651	2020	13474
652	2023	13471
653	2026	13467
654	2029	13463
655	2032	13459
656	2035	13456
657	2038	13453
658	2041	13449
659	2044	13445
660	2047	13441
661	2050	13438
662	2053	13434
663	2056	13431
664	2059	13427
665	2063	13425
666	2066	13422
667	2069	13420
668	2072	13418
669	2075	13414
