10005	11061	11070	10	forward
10005	11071	11078	8	Rearview mirror
10005	11079	11102	24	forward
10005	11103	11120	18	Instrument cluster
10005	11121	11121	1	center stack
10010	8559	8619	61	forward
10015	3113	3115	3	left forward
10015	3116	3123	8	forward
10015	3124	3131	8	Rearview mirror
10015	3132	3139	8	forward
10015	3140	3143	4	Rearview mirror
10015	3144	3151	8	forward
10015	3152	3173	22	left forward
10016	10399	10407	9	Rearview mirror
10016	10408	10459	52	forward
10017	4542	4602	61	forward
10028	13400	13401	2	forward
10028	13402	13406	5	Instrument cluster
10028	13407	13408	2	forward
10028	13409	13414	6	Rearview mirror
10028	13415	13431	17	forward
10028	13432	13437	6	Instrument cluster
10028	13438	13443	6	Rearview mirror
10028	13444	13460	17	forward
10032	9462	9472	11	forward
10032	9473	9480	8	Rearview mirror
10032	9481	9490	10	forward
10032	9491	9496	6	left mirror
10032	9497	9509	13	forward
10032	9510	9515	6	left mirror
10032	9516	9522	7	forward
10038	19158	19163	6	forward
10038	19164	19175	12	Rearview mirror
10038	19176	19207	32	forward
10038	19208	19209	2	Rearview mirror
10038	19210	19218	9	forward
10052	7201	7261	61	forward
10053	4622	4643	22	forward
10053	4644	4649	6	right forward
10053	4650	4664	15	forward
10053	4665	4677	13	right forward
10053	4678	4681	4	forward
10053	4682	4682	1	left forward
10055	47415	47475	61	forward
10056	8393	8416	24	Rearview mirror
10056	8417	8453	37	forward
10057	22744	22804	61	forward
10058	9364	9423	60	forward
10058	9424	9424	1	left mirror
10060	34321	34381	61	forward
10061	8721	8781	61	forward
10066	7684	7703	20	forward
10066	7704	7706	3	left forward
10066	7707	7722	16	left mirror
10066	7723	7744	22	forward
10068	27435	27495	61	forward
10070	8065	8070	6	Rearview mirror
10070	8071	8109	39	forward
10070	8110	8119	10	Rearview mirror
10070	8120	8125	6	forward
10076	396	400	5	forward
10076	401	406	6	Interior object
10076	407	410	4	forward
10076	411	427	17	Interior object
10076	428	431	4	forward
10076	432	440	9	Interior object
10076	441	447	7	forward
10076	448	456	9	Rearview mirror
10083	5378	5387	10	forward
10083	5388	5396	9	right mirror
10083	5397	5414	18	forward
10083	5415	5415	1	right mirror
10083	5416	5438	23	forward
10084	17402	17462	61	forward
10086	6598	6658	61	forward
10090	12056	12071	16	forward
10090	12072	12076	5	Interior object
10090	12077	12116	40	forward
10091	3888	3896	9	forward
10091	3897	3903	7	Rearview mirror
10091	3904	3948	45	forward
10096	12810	12816	7	Rearview mirror
10096	12817	12826	10	forward
10096	12827	12836	10	Rearview mirror
10096	12837	12870	34	forward
10100	23198	23258	61	forward
10102	7727	7741	15	forward
10102	7742	7748	7	right forward
10102	7749	7784	36	forward
10102	7785	7787	3	right forward
10103	15861	15921	61	forward
10105	4263	4323	61	forward
10110	1680	1696	17	forward
10110	1697	1701	5	right forward
10110	1702	1715	14	forward
10110	1716	1725	10	left mirror
10110	1726	1740	15	forward
10114	1995	2055	61	forward
10125	34780	34798	19	forward
10125	34799	34803	5	Rearview mirror
10125	34804	34840	37	forward
10126	4709	4769	61	forward
10129	3265	3325	61	forward
10133	43477	43496	20	No Video
10133	43497	43508	12	Rearview mirror
10133	43509	43532	24	forward
10133	43533	43537	5	center stack
10134	4549	4557	9	left window
10134	4558	4588	31	forward
10134	4589	4594	6	left window
10134	4595	4605	11	forward
10134	4606	4609	4	left window
10139	5009	5069	61	forward
10140	7242	7302	61	forward
10141	2263	2289	27	forward
10141	2290	2298	9	left window
10141	2299	2302	4	forward
10141	2303	2309	7	Rearview mirror
10141	2310	2323	14	forward
10145	30819	30879	61	forward
10146	1129	1166	38	forward
10146	1167	1174	8	Interior object
10146	1175	1189	15	forward
10147	11422	11431	10	Rearview mirror
10147	11432	11456	25	forward
10147	11457	11465	9	left mirror
10147	11466	11482	17	forward
10148	1219	1279	61	forward
10149	2895	2955	61	forward
10154	7780	7787	8	forward
10154	7788	7801	14	Rearview mirror
10154	7802	7840	39	forward
10159	1708	1728	21	forward
10159	1729	1735	7	right window
10159	1736	1746	11	forward
10159	1747	1755	9	right window
10159	1756	1768	13	forward
10163	9005	9006	2	forward
10163	9007	9013	7	Eyes Closed
10163	9014	9025	12	forward
10163	9026	9028	3	Eyes Closed
10163	9029	9065	37	forward
10167	1505	1564	60	forward
10167	1565	1565	1	center stack
10169	1193	1253	61	forward
10170	518	546	29	forward
10170	547	548	2	right forward
10170	549	551	3	forward
10170	552	553	2	right forward
10170	554	555	2	forward
10170	556	561	6	left window
10170	562	578	17	forward
10174	4278	4338	61	forward
10176	7892	7952	61	forward
10179	3396	3401	6	left window
10179	3402	3456	55	forward
10184	8025	8031	7	left window
10184	8032	8041	10	right forward
10184	8042	8085	44	forward
10185	1724	1731	8	No Video
10185	1732	1781	50	forward
10185	1782	1784	3	Rearview mirror
10187	18176	18181	6	left window
10187	18182	18213	32	forward
10187	18214	18225	12	left mirror
10187	18226	18232	7	forward
10187	18233	18234	2	Rearview mirror
10187	18235	18236	2	forward
10188	1093	1153	61	forward
10189	7784	7788	5	Rearview mirror
10189	7789	7814	26	forward
10189	7815	7822	8	Rearview mirror
10189	7823	7833	11	left window
10189	7834	7844	11	Rearview mirror
10193	21474	21488	15	forward
10193	21489	21498	10	center stack
10193	21499	21515	17	forward
10193	21516	21521	6	Rearview mirror
10193	21522	21534	13	forward
10194	1674	1676	3	right mirror
10194	1677	1680	4	forward
10194	1681	1706	26	right window
10194	1707	1711	5	forward
10194	1712	1727	16	right window
10194	1728	1731	4	forward
10194	1732	1734	3	right window
10196	7811	7846	36	forward
10196	7847	7852	6	Interior object
10196	7853	7871	19	forward
10200	38199	38259	61	forward
10210	3151	3204	54	forward
10210	3205	3208	4	Rearview mirror
10210	3209	3211	3	forward
10214	20960	20964	5	forward
10214	20965	20967	3	center stack
10214	20968	20990	23	forward
10214	20991	20996	6	right forward
10214	20997	21004	8	forward
10214	21005	21007	3	right forward
10214	21008	21020	13	forward
10227	4706	4723	18	left mirror
10227	4724	4727	4	forward
10227	4728	4735	8	Rearview mirror
10227	4736	4741	6	forward
10227	4742	4757	16	left mirror
10227	4758	4766	9	forward
10229	5470	5530	61	forward
10231	2004	2018	15	forward
10231	2019	2023	5	Instrument cluster
10231	2024	2035	12	forward
10231	2036	2042	7	left window
10231	2043	2064	22	forward
10232	7978	7996	19	left window
10232	7997	8002	6	forward
10232	8003	8011	9	left window
10232	8012	8038	27	forward
10234	18560	18610	51	forward
10234	18611	18612	2	left forward
10234	18613	18615	3	left window
10234	18616	18618	3	left forward
10234	18619	18620	2	forward
10242	22500	22560	61	forward
10250	17413	17473	61	forward
10256	15430	15490	61	forward
10261	17355	17415	61	forward
10266	5029	5046	18	forward
10266	5047	5057	11	right forward
10266	5058	5072	15	forward
10266	5073	5077	5	right forward
10266	5078	5087	10	right window
10266	5088	5089	2	forward
10267	1574	1594	21	forward
10267	1595	1599	5	Rearview mirror
10267	1600	1611	12	forward
10267	1612	1615	4	Rearview mirror
10267	1616	1625	10	forward
10267	1626	1634	9	left mirror
10268	2591	2651	61	forward
10269	1454	1483	30	forward
10269	1484	1491	8	left mirror
10269	1492	1499	8	forward
10269	1500	1506	7	Rearview mirror
10269	1507	1514	8	forward
10270	39324	39384	61	forward
10278	16948	16959	12	forward
10278	16960	16969	10	left mirror
10278	16970	17008	39	forward
10283	3243	3251	9	forward
10283	3252	3260	9	Eyes Closed
10283	3261	3263	3	forward
10283	3264	3273	10	Interior object
10283	3274	3303	30	forward
10287	1882	1886	5	Interior object
10287	1887	1915	29	forward
10287	1916	1922	7	Interior object
10287	1923	1924	2	forward
10287	1925	1929	5	Interior object
10287	1930	1942	13	forward
10295	1174	1230	57	forward
10295	1231	1234	4	right window
10301	1430	1490	61	forward
10309	10360	10365	6	left mirror
10309	10366	10420	55	forward
10313	6030	6090	61	forward
10317	3227	3228	2	forward
10317	3229	3232	4	Rearview mirror
10317	3233	3238	6	forward
10317	3239	3243	5	left mirror
10317	3244	3246	3	Instrument cluster
10317	3247	3287	41	forward
10318	17802	17862	61	forward
10319	13180	13240	61	forward
10329	5085	5142	58	forward
10329	5143	5145	3	right forward
10331	3416	3476	61	forward
10336	14186	14246	61	forward
10337	8844	8904	61	forward
10339	5018	5038	21	forward
10339	5039	5041	3	right mirror
10339	5042	5049	8	right window
10339	5050	5061	12	forward
10339	5062	5064	3	left forward
10339	5065	5078	14	left mirror
10344	8658	8658	1	right forward
10344	8659	8681	23	right window
10344	8682	8686	5	forward
10344	8687	8703	17	right window
10344	8704	8707	4	left mirror
10344	8708	8717	10	forward
10344	8718	8718	1	left mirror
10345	2710	2770	61	forward
10347	18886	18946	61	forward
10348	2062	2122	61	forward
10352	27170	27230	61	forward
10354	7530	7574	45	forward
10354	7575	7580	6	Rearview mirror
10354	7581	7590	10	forward
10357	738	740	3	forward
10357	741	748	8	Instrument cluster
10357	749	751	3	forward
10357	752	759	8	Rearview mirror
10357	760	780	21	forward
10357	781	787	7	Rearview mirror
10357	788	798	11	forward
10362	3850	3865	16	forward
10362	3866	3877	12	left window
10362	3878	3884	7	forward
10362	3885	3889	5	Rearview mirror
10362	3890	3896	7	forward
10362	3897	3906	10	Rearview mirror
10362	3907	3910	4	forward
10366	19235	19249	15	forward
10366	19250	19254	5	left forward
10366	19255	19267	13	forward
10366	19268	19295	28	Rearview mirror
10367	8706	8730	25	forward
10367	8731	8734	4	left window
10367	8735	8766	32	forward
10374	4124	4152	29	forward
10374	4153	4156	4	Rearview mirror
10374	4157	4184	28	forward
10377	13584	13644	61	forward
10378	4123	4135	13	forward
10378	4136	4137	2	center stack
10378	4138	4139	2	forward
10378	4140	4144	5	center stack
10378	4145	4150	6	forward
10378	4151	4154	4	center stack
10378	4155	4159	5	forward
10378	4160	4168	9	center stack
10378	4169	4182	14	forward
10378	4183	4183	1	center stack
10387	8494	8541	48	forward
10387	8542	8543	2	Rearview mirror
10387	8544	8551	8	forward
10387	8552	8554	3	left mirror
10388	2717	2718	2	Rearview mirror
10388	2719	2752	34	forward
10388	2753	2756	4	Rearview mirror
10388	2757	2768	12	forward
10388	2769	2771	3	right forward
10388	2772	2777	6	forward
10389	646	669	24	forward
10389	670	677	8	Rearview mirror
10389	678	706	29	forward
10393	4490	4494	5	right forward
10393	4495	4507	13	right window
10393	4508	4511	4	forward
10393	4512	4520	9	Rearview mirror
10393	4521	4524	4	forward
10393	4525	4533	9	Rearview mirror
10393	4534	4541	8	forward
10393	4542	4545	4	Rearview mirror
10393	4546	4550	5	forward
10403	9436	9462	27	left forward
10403	9463	9474	12	forward
10403	9475	9481	7	Rearview mirror
10403	9482	9496	15	forward
10411	6913	6956	44	forward
10411	6957	6961	5	Interior object
10411	6962	6973	12	forward
10412	1351	1411	61	forward
10416	4761	4793	33	forward
10416	4794	4800	7	left mirror
10416	4801	4821	21	forward
10420	5767	5802	36	forward
10420	5803	5825	23	left mirror
10420	5826	5827	2	forward
10426	9104	9110	7	forward
10426	9111	9119	9	left window
10426	9120	9134	15	forward
10426	9135	9141	7	Rearview mirror
10426	9142	9164	23	forward
10429	663	708	46	forward
10429	709	718	10	right forward
10429	719	723	5	forward
10430	7724	7730	7	left window
10430	7731	7736	6	Interior object
10430	7737	7782	46	left window
10430	7783	7784	2	Interior object
10434	7666	7672	7	Rearview mirror
10434	7673	7678	6	center stack
10434	7679	7699	21	forward
10434	7700	7714	15	Rearview mirror
10434	7715	7726	12	forward
10437	6869	6929	61	forward
10442	3473	3533	61	forward
10447	11355	11415	61	forward
10448	10166	10226	61	forward
10452	329	354	26	forward
10452	355	361	7	Rearview mirror
10452	362	389	28	forward
10453	4462	4487	26	forward
10453	4488	4499	12	Passenger
10453	4500	4520	21	forward
10453	4521	4522	2	Passenger
10457	2730	2736	7	left forward
10457	2737	2790	54	forward
10464	18349	18409	61	forward
10472	10431	10491	61	forward
10473	21323	21333	11	forward
10473	21334	21342	9	right forward
10473	21343	21352	10	center stack
10473	21353	21383	31	forward
10475	12273	12285	13	forward
10475	12286	12294	9	left mirror
10475	12295	12306	12	forward
10475	12307	12316	10	left mirror
10475	12317	12333	17	forward
10481	13623	13626	4	left mirror
10481	13627	13642	16	forward
10481	13643	13646	4	left forward
10481	13647	13661	15	forward
10481	13662	13673	12	Interior object
10481	13674	13678	5	forward
10481	13679	13683	5	left window
10487	2111	2150	40	forward
10487	2151	2157	7	Rearview mirror
10487	2158	2160	3	forward
10487	2161	2168	8	left mirror
10487	2169	2171	3	forward
10492	3124	3184	61	forward
10495	1615	1661	47	forward
10495	1662	1672	11	right window
10495	1673	1675	3	forward
10502	2366	2424	59	forward
10502	2425	2426	2	left mirror
10507	14571	14631	61	forward
10508	12593	12653	61	forward
10509	1591	1592	2	left mirror
10509	1593	1608	16	forward
10509	1609	1611	3	right forward
10509	1612	1620	9	forward
10509	1621	1625	5	right forward
10509	1626	1640	15	forward
10509	1641	1644	4	right forward
10509	1645	1651	7	left window
10511	3284	3303	20	forward
10511	3304	3309	6	Eyes Closed
10511	3310	3329	20	forward
10511	3330	3344	15	No Video
10514	1653	1713	61	forward
10516	12264	12324	61	forward
10518	3331	3391	61	forward
10519	3336	3396	61	forward
10522	1930	1940	11	forward
10522	1941	1948	8	left mirror
10522	1949	1990	42	forward
10527	512	572	61	forward
10535	6308	6312	5	forward
10535	6313	6318	6	Rearview mirror
10535	6319	6340	22	forward
10535	6341	6346	6	Rearview mirror
10535	6347	6368	22	forward
10536	22567	22618	52	forward
10536	22619	22623	5	Rearview mirror
10536	22624	22627	4	forward
10542	10612	10621	10	forward
10542	10622	10629	8	left mirror
10542	10630	10641	12	forward
10542	10642	10646	5	left forward
10542	10647	10672	26	forward
10543	18660	18666	7	left forward
10543	18667	18676	10	Instrument cluster
10543	18677	18720	44	forward
10547	1102	1109	8	forward
10547	1110	1123	14	Rearview mirror
10547	1124	1162	39	forward
10548	3250	3255	6	center stack
10548	3256	3297	42	forward
10548	3298	3304	7	right mirror
10548	3305	3308	4	forward
10548	3309	3310	2	right mirror
10550	8111	8157	47	forward
10550	8158	8169	12	Instrument cluster
10550	8170	8171	2	forward
10553	7315	7315	1	forward
10553	7316	7319	4	Rearview mirror
10553	7320	7324	5	forward
10553	7325	7336	12	Rearview mirror
10553	7337	7375	39	forward
10560	23294	23354	61	forward
10562	8636	8696	61	forward
10569	14036	14096	61	forward
10571	21055	21077	23	forward
10571	21078	21080	3	No Video
10571	21081	21115	35	forward
10573	7415	7475	61	forward
10577	12108	12112	5	forward
10577	12113	12131	19	Rearview mirror
10577	12132	12142	11	right window
10577	12143	12148	6	forward
10577	12149	12159	11	Rearview mirror
10577	12160	12168	9	forward
10578	8817	8819	3	Interior object
10578	8820	8838	19	forward
10578	8839	8850	12	left mirror
10578	8851	8877	27	forward
10587	18901	18961	61	forward
10588	573	593	21	forward
10588	594	608	15	left forward
10588	609	613	5	left mirror
10588	614	620	7	left window
10588	621	630	10	right forward
10588	631	633	3	forward
10590	1627	1687	61	forward
10591	14013	14047	35	forward
10591	14048	14051	4	left forward
10591	14052	14060	9	forward
10591	14061	14073	13	right forward
10592	6374	6392	19	forward
10592	6393	6402	10	Rearview mirror
